temperature and humidity,press
-0.9622443,-0.5942693
0.10242505,0.75836426
-0.19814229,-0.10183845
-0.8649965,0.6619766
-1.0328947,-0.33422446
0.36466557,-0.28915057
1.4667623,-0.9068062
0.34043527,-1.0432913
-1.4206498,-1.5830543
1.0401603,-0.19790106
0.70744354,-0.009654996
-0.9971902,0.44258893
1.0234118,-0.7200584
0.27502894,-0.9380067
-0.1822027,-0.9565065
0.8008371,3.3567307
-0.40061992,0.16058433
1.605067,-0.09025714
0.7886331,0.529883
-1.2952667,-0.44642064
0.7050065,-0.27613518
0.105774164,0.5592364
-0.42451885,-0.03617356
-0.24861416,0.23375979
-0.82918227,-0.008923054
0.7576911,-0.29892898
1.2057023,-0.14364848
-1.5296624,-1.0926838
-0.032438166,0.69991016
-0.26566014,0.23594365
-0.8645937,-2.293821
-0.44776952,0.93106735
-0.18700774,0.4327931
1.1013422,-0.5327036
0.45171714,-1.467857
1.0563731,2.3673978
0.62452495,0.9530806
0.6671148,-0.057940803
0.30349404,-0.010660931
0.20538735,0.5528651
-0.113270864,0.8508458
-0.6608764,-0.35810345
-0.9090879,0.5829325
1.4615049,-1.136874
0.075735874,0.31649026
1.0633568,-0.5152338
0.18789533,0.55812275
-0.593229,0.07015348
0.751938,0.29618382
1.5771503,-0.7689695
-0.30103382,-0.686544
-0.15584366,0.7922184
0.5929856,0.7837097
1.6219362,-0.9233207
-0.53850126,-0.8343917
-0.92242545,-1.3199486
0.64074385,0.6911538
-1.3427722,2.6582298
0.61891085,1.0918376
-1.1806483,-0.2873971
-1.1708984,1.3876125
-0.52880096,-0.7209772
0.38752717,1.8544189
-1.1849159,-3.048068
0.52265227,0.55364656
2.262357,1.1080211
0.64700514,0.41549113
0.10355138,-2.3125498
0.17588587,0.09212501
-0.08954912,-0.5656096
0.5378338,0.51851296
0.9486595,2.6236646
0.70564586,0.50698805
0.5816185,0.1645437
-0.6213791,-0.85892206
-0.2936641,-1.0259372
1.7163892,-1.5146366
-0.13244629,0.61730397
0.3418103,0.4062461
-1.6533296,-2.645001
-1.0699006,-0.48587048
0.8139795,-0.16323654
-1.241317,0.5172658
1.3766764,1.2529765
-1.5289761,2.450107
-1.1350673,0.85475874
-0.3017045,-1.606564
0.7843978,0.22637706
1.9873012,0.5106728
0.2051927,-0.7808585
-0.743392,1.2286421
1.5166866,-3.0771663
0.06868665,1.7059402
-0.6497536,-0.704838
0.73369455,0.53857404
0.12687227,1.748626
-0.9359282,0.49341455
1.7849684,-0.95629644
1.6405315,0.3867844
-0.2502901,-0.9381731
1.0351131,-0.55943084
2.514419,-0.14495379
-1.3914423,1.8172863
0.24749736,0.5503587
0.01030788,1.0267079
-0.19406591,0.3085059
-0.44962955,0.082430154
-0.0014833494,1.465768
0.032496434,-1.5316557
-0.39056832,0.38884214
-1.3810469,-1.4031258
