Temperature,Humidity
24.95,54.04
26.35,52.89
23.61,57.98
25.61,47.59
29.18,57.85
23.19,49.12
29.06,46.71
23.56,43.29
25.2,51.6
22.68,40.35
22.96,41.35
26.64,59.66
28.19,40.99
26.54,54.65
29.21,50.29
21.01,54.2
21.3,49.18
28.74,52.58
28.25,57.53
28.25,59.92
20.12,52.72
29.46,42.68
22.25,48.37
25.06,52.8
20.68,49.51
27.41,40.57
22.55,53.64
25.4,40.86
21.5,45.58
24.53,59.5
29.73,48.21
29.86,47.47
23.79,55.35
21.81,56.82
23.19,47.37
27.09,45.61
21.94,44.29
29.8,56.73
21.65,47.48
28.41,49.13
28.89,46.64
27.31,45.71
23.64,55.17
22.85,50.47
23.47,59.75
26.47,49.89
25.34,59.83
27.39,57.75
24.96,40.49
20.89,47.1
21.11,40.75
29.32,46.42
20.64,40.79
25.13,47.25
23.76,41.79
24.78,52.52
28.28,55.56
20.43,59.53
29.5,43.15
24.53,51.94
22.06,58.59
22.22,58.22
27.86,52.33
27.81,48.45
21.67,49.31
26.44,40.71
27.36,58.34
24.27,54.25
26.21,48.1
23.36,46.62
29.39,50.87
29.72,43.55
23.38,53.12
22.31,51.03
27.69,41.4
29.56,54.95
29.86,40.37
25.13,44.51
26.97,59.63
29.82,56.07
24.42,44.49
20.91,57.0
26.89,55.92
23.45,50.5
22.61,46.41
22.08,41.27
23.1,51.65
27.26,48.04
20.02,54.8
25.57,45.96
26.03,47.92
28.96,50.05
27.37,48.29
23.94,44.1
26.05,51.16
20.26,54.87
25.63,51.88
24.3,55.69
21.17,56.34
22.87,44.89
20.94,49.2
23.44,49.62
20.48,58.16
22.39,55.15
25.26,50.91
29.19,45.88
25.85,43.38
28.46,48.05
23.12,43.71
26.67,57.35
29.51,55.15
24.02,59.31
27.08,59.13
24.96,48.52
27.63,40.72
23.06,54.05
21.95,45.12
25.93,42.48
30.0,57.73
29.32,44.19
20.04,45.16
27.0,51.0
24.39,46.43
29.08,55.75
20.51,43.75
23.76,52.01
23.63,53.56
28.79,43.95
27.38,53.63
23.57,59.19
24.32,55.59
23.89,43.39
21.11,53.5
23.27,56.88
28.93,41.55
27.96,46.5
21.9,53.52
20.38,44.18
23.65,50.55
26.57,43.0
24.94,50.52
24.53,58.85
23.59,46.09
26.04,49.79
22.35,59.45
20.25,47.7
26.51,56.1
20.03,44.44
22.17,49.93
21.44,54.83
23.55,45.72
23.48,54.38
27.59,41.56
26.73,50.71
27.71,49.36
26.74,44.2
22.32,57.38
27.81,49.71
22.34,53.92
20.74,50.2
21.93,40.43
23.95,48.06
28.98,40.62
20.12,43.81
29.35,55.43
20.32,57.55
27.11,43.08
28.83,54.43
29.47,53.9
21.46,44.25
22.77,44.79
24.42,55.66
28.61,47.1
24.04,56.99
26.38,55.32
20.25,50.03
21.99,47.67
25.93,43.4
27.09,57.23
